id,group,item,effort,risk,disposition,backlog_status,overnight_safe,worktree_parallelism,dependencies,key_locations,open_decision,analysis
REF-01,Cleanup,Unified track/finding display component (extract FindingIdentity + TrackMetaChips),M,Med,PR(s),Done,Yes,Sequenced within Cleanup cluster (overlaps plans/renders/findings routes),none,components/admin/pipeline/finding-lead.tsx (canonical admin); routes/admin/renders.tsx:480 RenderRow (near-verbatim dup); routes/admin/plans.tsx SortableMemberRow+MemberSearch (2 internal copies); components/admin/add-finding-dialog.tsx TrackLine; components/track-summary.tsx; routes/admin/index.tsx QueueRow+RowArt; components/track-row.tsx TrackChips (public),none,"SCOPED (REF-04 spike): 5-6 admin copies of small-cover+title+artists+coordinate. Extract a FindingIdentity component (props: cover,size sm/md/lg,title,artists,logId?,titleFormat stacked|inline,onPreview?,hasClip?,meta?,trailing?) + a smaller TrackMetaChips (BPM/key/duration). QUICK WIN: RenderRow == FindingLead is an exact dup, ship that first alone. Do NOT merge the public TrackRow into the admin component — share the identity block + chip cluster, not the whole row."
REF-02,Cleanup,Fix many re-renders on hover of the socials field in the admin findings dashboard,S,Low,PR,Done,Yes,Parallel (FLOW-00 landed),none (FLOW-00 landed on main),admin findings/artists socials-field component (locate exact during task; artist socials render + hover),none,Perf bug: hovering the socials field triggers many re-renders. Isolated: memoize/stabilize handlers + derived props. Locate the exact component during the task. FLOW-00 landed so the artist area is clear; NOTE the artist-follow-queue work also just landed (3c801b75) — re-check the current socials component before editing.
REF-03,Cleanup,Improved empty states using the Shadcn Empty component,M,Low,PR,Done,Yes,Sequenced within Cleanup cluster; slice#0 = add Empty primitive; touches admin routes (avoid overlap w/ ADM cluster),none,"SLICE#0: shadcn add empty (Empty does NOT exist in packages/ui yet). Consolidate 3 identical EmptyState defs: findings.tsx:1015, plans.tsx:969, newsletter.tsx:486. Then renders.tsx:593 EmptyRow + clips.tsx:585 EmptyLibrary + inline artists.tsx:212 / recording-cue-rail.tsx:114",none,"SCOPED (REF-04 spike). Empty primitive MISSING -> add via shadcn CLI first (slice#0). QUICK WINS: the 3 identical EmptyState copies (findings/plans/newsletter) collapse to one Empty; plus artists.tsx + recording-cue-rail.tsx inline. MEDIUM: renders EmptyRow (dashed), clips EmptyLibrary (icon). DO NOT MIGRATE: index.tsx:989 ZeroState (the sanctioned dashboard motion moment) + log.index.tsx:91 (public custom aesthetic) — leave both."
REF-04,Cleanup,Retire hand-rolled core UI (Shadcn-by-default) — the umbrella over REF-01/02/03,M,Low-Med,PR(s),Done (R3 raw-table swap = separate follow-up),Yes,Umbrella/parent of the Cleanup cluster (REF-01/02/03); sequence its slices,none,"components/admin/pipeline/finding-lead.tsx:34 (raw <button> cover, Rank1); routes/admin/plans.tsx:824+793 raw icon-buttons + clips.tsx:544 (Rank2); raw <table> log-observation/observation-dialogs/radio.tsx (Rank3, BLOCKED on adding Table primitive); upload-recording-dialog.tsx raw file <input> (Rank4, likely justified exception)",none,SCOPED (REF-04 spike): codebase is mostly disciplined (raw select/dialog/textarea = zero). Ranked offenders: R1 finding-lead cover <button> -> Button ghost; R2 plans/clips size-9 icon <button>/<a> -> Button size=icon (VERIFY Button render-slot forwards dnd-kit listener spreads before converting drag handles); R3 raw <table> -> needs a Table primitive added first (lower priority); R4 file input = leave. This row is the umbrella; the concrete deliverables are REF-01 (dup renderers) + REF-03 (empty states) + these button swaps.
REF-05,Cleanup,Move the archived previews off the public 'analysis' folder in R2,-,High,Built,Built (operator copy/delete/purge run pending),No,n/a,REF-05 slices 1-3 (private preview write + reader); full-audio capture landed,"apps/web/src/lib/server/preview-bucket-migration.ts (the copy/verify/delete core); apps/web/src/lib/server/orpc/admin-migrations.ts + packages/contracts/src/orpc/admin-migrations.ts (operator-tier migrate_preview_archive op); apps/cli/src/commands/preview-migration.ts (CLI client, `fluncle admin migrations preview-archive`)","None — dry-run-first; operator runs copy → verify → --delete-public → purge the found.fluncle.com Cloudflare cache",BUILT (REF-05 slice 4). The migration ships as the operator-tier migrate_preview_archive op plus the `fluncle admin migrations preview-archive` CLI — Worker-side off the existing VIDEOS + SOURCE_AUDIO bindings (needs no R2 creds). Two explicitly-separate phases (never in one pass). PHASE A copies each legacy analysis/previews/<logId>/<sha256>.<ext> object into the private fluncle-source-audio bucket at <logId>/preview.<ext> — sha256-verified on read AND on private read-back — then rewrites preview_archive_key. PHASE B (--delete-public) removes the now-orphaned public object only after confirming the private copy is present; the old public key is reconstructed from the private bytes' hash. Dry-run is the DEFAULT; --execute mutates. Idempotent + batched + resumable. REMAINING: the operator runs copy → verify → --delete-public then PURGES the Cloudflare cache for the found.fluncle.com hostname (deleting the R2 origin object alone leaves the edge serving the cached copy — the leak stays live). Depends on slices 1-3 (private preview write + agent-tier preview-audio reader); this slice merges LAST.
MOB-01,Mobile,(See DIST-02 — mobile-first admin is tracked there),-,-,-,Merged into DIST-02,-,-,DIST-02,-,-,"The 'mobile improvements' item is the same work as DIST-02 (mobile-first admin, tied to push-from-dashboard). Tracked once as DIST-02."
OPS-01,Security,Audit + review R2 settings/config across all buckets,M,Low,Ops-audit (automatable read),"Audited 2026-07-08 — posture SOUND; TLS finding RESOLVED (operator); 2 optional backup hardenings remain (operator policy calls)",Partial,Own worktree (read+report),none,wrangler r2 bucket cors/lifecycle/info/domain/dev-url/lock/sippy (LIVE reads work via current OAuth auth); apps/web/r2-cors.json; wrangler.jsonc bindings; fluncle buckets = fluncle-videos / fluncle-backups / fluncle-source-audio,none,"AUDIT 2026-07-08 (wrangler live read-only, all 3 fluncle-* buckets). POSTURE SOUND overall: public r2.dev dev-url DISABLED on all three (no accidental public exposure); a multipart-abort-after-7d lifecycle on all three; object-lock + sippy off everywhere; no event-notification rules. Per bucket — fluncle-videos (world-served at found.fluncle.com, 778 obj / 9.5 GB, binding VIDEOS): live CORS == apps/web/r2-cors.json EXACTLY (public GET/HEAD rule + fluncle.com/localhost PUT/POST/DELETE with ETag exposed). ONE FINDING (RESOLVED 2026-07-08): the found.fluncle.com custom domain floored min-TLS at 1.0 (deprecated) → operator bumped it to 1.2 (verified live: min_tls_version 1.2, cert re-provisioning). fluncle-source-audio (full-song archive, 61 obj / 283 MB, binding SOURCE_AUDIO): CORRECTLY PRIVATE — no CORS, no custom domain, dev-url disabled — the copyright-sensitive full-song bucket is verified NOT publicly reachable (matches audio-source-policy internal-only). fluncle-backups (box-only token, 8 obj / 790 kB, intentionally UNBOUND in wrangler = correct): no CORS / no domain / not public ✓. OPTIONAL hardenings on backups: (a) a retention lifecycle to expire stale backups, (b) an object-lock/WORM retention rule for ransomware-tamper protection. Every remediation is an operator/dashboard-gated mutation; the audit itself was read-only."
OPS-02,Security,Limit R2 API tokens to rave-02's static IP where possible,S,Med,Ops-analysis,Deferred,No,n/a,OPS-01,docs/agents/hermes/scripts/backup-sweep.ts (FLUNCLE_BACKUP_R2_* box-only token); apps/web/src/lib/server/r2-presign.ts (R2_ACCESS_KEY_ID used Worker-side),none,"Per-token analysis: the fluncle-backups token is box-only -> a good static-IP pin candidate (rave-02). The fluncle-videos token is used Worker-side too, so it CANNOT be IP-pinned to the box. Changes applied in the CF dashboard (operator)."
OPS-03,Secret,1Password item/field naming review + vault-split audit (Fluncle vs Fluncle Automations),M,Low,Ops / runbook,Done (A+B),No,n/a,none,apps/web/.dev.vars.tpl (op:// placeholders); the private Fluncle Ops Runbook note,none,"AUDIT DONE 2026-07-07: item+field NAMES only (no values) enumerated for both vaults (Fluncle 38 items, Automations 16) into gitignored docs/1password-audit.local.md, with an observations/findings section. Remaining = operator actions in the 1Password app: (1) delete Tiktok + DataImpulse dupes; (2) retire dead items (ELEVENLABS first; verify Inworld/Hume/Spinup/OpenRouter); (3) standardize the 2 R2 items' field names to snake_case; (4) pick canonical FLUNCLE_API_TOKEN copy + verify RESEND placement vs where newsletter sends from; (5) optional: make Web Local Dev Env use op:// refs. Automations vault is otherwise clean/coherent. STATUS: A (dup deletes) + B (stale retires) DONE by operator 2026-07-07. C (R2 field-name standardization) spun out -> OPS-04 (deferred, needs code). E (mega-bundle drift) spun out -> OPS-05 (deferred, needs code)."
COPY-01,Copywriting,Rewrite off-brand artist-page copy ('one of theirs' / 'here it is'),S,Low,PR,Done,Yes,Parallel (FLOW-00 landed),none (FLOW-00 landed on main),routes/artist.$slug.tsx,none,"Replace the low-warmth off-canon line with warmer, on-voice copy via the copywriting-fluncle skill + VOICE.md. FLOW-00 landed so artist.$slug.tsx is clear to edit."
COPY-02,Copywriting,Trim the repetitive Log-ID explanation on the /log coordinate page,S,Low,PR,Dropped,-,-,-,the /log/<coord> page copy,none,"DROPPED 2026-07-07: the /log definitional prose is deliberate AEO/GEO value that feeds the MusicRecording schema, so the 'repetition' is intentional. Not worth the SEO risk. Closed."
DOCS-01,Docs,Regroup docs: root = canonical only; nest RFCs/planning; trim the AGENTS.md canon list,M,Low,PR,Done,Yes,Parallel (docs + AGENTS.md links),none,"docs/ (root reference docs); docs/rfcs/ (only 1 of 6 RFCs currently there); AGENTS.md canon list (~30 bullets, 18 into docs/)",RESOLVED: yes to both (RFCs/planning -> docs/rfcs/; never list these in AGENTS.md),RESOLVED. Root docs = purely canonical reference. Consolidate all *-rfc.md (+ ROADMAP/cockpit-roadmap planning) under docs/rfcs/ (or a docs/planning/ for roadmaps). RFC/planning/roadmap docs must NEVER appear in the AGENTS.md canon list. Keep canon = README/PRODUCT/DESIGN/VOICE + true subsystem reference docs. Update the ~18 docs/ links + any cross-refs. Ready to run.
DOCS-02,Docs,Prune closed RFCs,S,Low,PR,Done,Yes,Parallel (part of DOCS-01),DOCS-01,docs/live-longform-visuals-rfc.md (SHIPPED #287-291); docs/full-audio-embedding.md (superseded by full-audio-rfc.md),none,"Prune/archive: live-longform-visuals-rfc.md (explicitly SHIPPED) and full-audio-embedding.md (explicitly superseded by full-audio-rfc.md). KEEP open: full-audio-rfc.md, artist-relationship-rfc.md, audio-embedding-rfc.md, fluncle-foundry.md (all open build-ready proposals). Fold into DOCS-01."
COST-01,Costs,Per-track / per-step cost insights (aggregate cost per track + per automation step),M-L,Med,RFC done -> build,Done (Phase-1a; Path B box-capture + prod backfill = operator),Yes,Own worktree (build the RFC's Phase 1),none,"docs/rfcs/cost-insights-rfc.md (Final); append-only cost_events ledger (migration 0052+, 0051 taken by #359 full-audio); record_cost agent-tier op; cost-rates.ts; /admin/usage read; note/observe/newsletter sweeps already parse usage+total_cost_usd (currently discarded)","3 operator decisions (baked in RFC, non-blocking for Phase-1 scaffolding): (A) cash-only headline, subsidized shown separately never summed; (B) the on-box self $/sec rate or utilization-only; (C) capture render-agent tokens or leave render at box-minutes","RFC FINAL 2026-07-07 (Forge: 3 research threads + taste + 3-role adversarial panel). Approach: STOP DISCARDING the number the pipeline already emits (sweeps already parse claude -p usage/total_cost_usd + OpenRouter usage + Cartesia char count and throw them away). Two write paths: A = Worker-local in-process inserts (context/Firecrawl/Cartesia/Resend); B = idempotent agent-tier record_cost POST for box-only numbers (LLM authoring tokens, enrich/embed seconds, render box-minutes). Model: append-only cost_events ledger keyed by finding/step/vendor/unit + quantity + nullable estimated_usd, with costBasis cash|subsidized (load-bearing) orthogonal to source measured|estimated. Phasing: P1 spine + every step at coarse resolution + historical backfill + /admin/usage; P2 render-agent token precision; P3 COST-02 pairing under a shared Costs sidebar group. Ready to build P1."
COST-02,Costs,Admin-gated subscriptions/costs table (active recurring + one-off spend),M,Med,Feature,Done,Yes,Own worktree,none,new Drizzle table (db/schema.ts) + oRPC admin contract + /admin/costs route (System area of admin-sidebar); db:generate,"SCOPED 2026-07-07 (fields below). Split from COST-01, scope as a feature.","SCOPE: small admin-gated Drizzle table + /admin/costs route (System area). Fields: name, vendor, category (infra/AI/media/distribution/domains/tooling), cadence (monthly/annual/one-off/usage), amount, currency, status (active/cancelled/trial), renews_at, billing_url, powers (which surface/cron it feeds), notes. CRUD via oRPC admin contract. Seed once from known integrations. This is the private single-source-of-truth for spend that replaces the doc pulled from the public repo. Do NOT commit concrete billing URLs/vendor topology into docs — it lives in the DB row. Small admin-gated table of active recurring + one-off spend (removed from docs because the repo is public; a DB row is the right home). CRUD + an admin route. Simpler than COST-01; pairs with it for evaluating alternatives. Scoped directly if kept separate."
OPS-04,Secret,Standardize the two R2 items' field names to snake_case (C from OPS-03),S,Low-Med,Ops + code,Deferred,No,Small focused task (1P rename + op:// ref edits together),OPS-03,1P items FLUNCLE_BACKUP_R2 (access key id/secret access key/bucket/r2_account_id) + FLUNCLE_SOURCE_AUDIO_R2 (access_key_id/secret_access_key/bucket_id/account_id); box secret-injection templates docs/agents/hermes/secrets/; docs/agents/hermes/scripts/backup-sweep.ts (env var names); apps/web/.dev.vars.tpl,Confirm snake_case target (access_key_id/secret_access_key/bucket/account_id),DEFERRED to 2026-07-08 (needs code). The two R2 items disagree with each other; standardize both to snake_case. Requires renaming the 1P field LABELS AND updating every op:// reference that points at those fields (the box secret-injection template that materializes FLUNCLE_BACKUP_R2_* / FLUNCLE_SOURCE_AUDIO_R2_* env vars). Rename + edit refs together in one focused pass so injection never breaks between the two. Not overnight-autonomous (touches box secret bootstrap + needs op).
OPS-05,Secret,Retire the Web Local Dev Env mega-bundle -> one source of truth per secret (E from OPS-03),M,Med,Ops + code,Deferred,No,Focused task (rewrites dev secret bootstrap),OPS-03,1P item Web Local Dev Env (~35 fields); apps/web/.dev.vars.tpl ($FLUNCLE_1PASSWORD_ENV_ITEM); the standalone 1P items that duplicate bundle fields (RESEND_API_KEY/DISCOGS_USER_TOKEN/FIRECRAWL_API_KEY/FLUNCLE_API_TOKEN/CARTESIA_API_KEY/R2 keys...),"Design fork: (recommended) retire the bundle -> one standalone item per TRUE secret, referenced directly via op://, config stays inline; vs keep a bundle of op:// references","DEFERRED to 2026-07-08 (needs code). The bundle is a rotation-drift hazard: some fields duplicate standalone items (two sources of truth), some are bundle-only. RECOMMENDATION: retire the mega-bundle. Promote each TRUE secret (CONCEALED: BETTER_AUTH_SECRET, ADMIN_SESSION_SECRET, SPOTIFY_*/YOUTUBE_*/MIXCLOUD_* secrets, tokens, API keys) to its own standalone item where it isn't already, and reference each DIRECTLY in .dev.vars.tpl via op://<vault>/<ITEM>/<field>. Leave NON-secret config (STRING: SPOTIFY_REDIRECT_URI, TELEGRAM_CHANNEL_ID, RESEND_FROM, ADMIN_ALLOWED_*) inline or in one small config item — a 1P item per config string is overkill. Net: one source of truth per secret, drift gone. Rewrite .dev.vars.tpl to the per-item refs. Not overnight (breaks dev secret load if mis-sequenced)."
POLISH-01,Polish,Per-admin-page impeccable critique -> targeted polish (final visual polish pass),L,Low,Sequenced sweep (serial Chrome + parallel code),Ready-after-dep,Partial,"Chrome is SINGLE-DRIVER (one agent at a time) -> serialize the visual phases, parallelize the code-only polish",ADM cluster + Cleanup cluster + new pages (ADM-02 mixtapes / ADM-03 recordings+clips / COST-01 usage / COST-02 costs),"admin pages: /admin (index queue), /admin/findings, /admin/renders, /admin/artists, /admin/plans (Playlists), /admin/recordings (new), /admin/clips, /admin/mixtapes (new), /admin/newsletter, /admin/studio/<id>, /admin/costs (new), /admin/usage (new); skill: impeccable; claude-in-chrome MCP against the authed admin browser",Per-page treatment (polish|distill|typeset|layout) chosen from each critique,"FINAL polish, runs AFTER all admin structural + new-page work lands (polishing pages about to be restructured is wasted). Per page: /impeccable critique (visual via claude-in-chrome on the authed admin session) -> pick /impeccable polish|distill|typeset|layout -> apply -> re-verify. ORCHESTRATION for the single-Chrome-driver constraint = 3 phases: P1 SERIAL (Chrome) critique each page + record chosen treatment; P2 PARALLEL (no Chrome) apply each page's treatment in isolated worktrees (each touches its own route -> minimal conflict); P3 SERIAL (Chrome) final verification sweep. Overnight caveat: P1+P3 need the authed admin browser alive + serial (auth-expiry + single-driver) = overnight-Partial; P2 is overnight-safe. Nice-to-have overnight, else tomorrow. Pages exclude bare /admin/login."
SSH-01,Ops,Auto-deploy apps/ssh (rave terminal) on merge to main,M,Med,Spike -> build,Open,No,n/a,none,"apps/ssh (the SSH server on rave.fluncle.com); deploy today is manual via the hetzner-devbox skill to rave-01 (see the rave-ssh-terminal-deploy memory: SSH_AUTH_SOCK 1P agent + sandbox-off + USERNAME-is-zsh-special); apps/web auto-deploys via Cloudflare Workers Builds but apps/ssh does NOT",Trigger the rave-01 deploy on a main merge touching apps/ssh — a GitHub Action that SSHes in + rebuilds/swaps the binary (credential model?) vs a box-side pull-timer like fluncle-pin-watch (the render/hermes self-freshen pattern),"RAISED 2026-07-09 during the hygiene audit: merging dependabot #396 (golang.org/x/crypto CVE bump) cleared the alerts but the patched binary is NOT live on rave-01 until a manual deploy — the operator hit this same gap earlier that day. A public SSH server should not depend on remembering a manual redeploy after a security bump. Spike the two options (CI-push vs box-pull-timer) against the credential/topology constraints, pick one, build it. Pairs with adding gomod to the dependency update-manager (SEC audit) so the bump PRs keep coming."
