domain,order_hint,job,status,trigger,executor,runs_on,input,output,surfaces,primary_surface,drop_from,tests,notes
intake-enrichment,90,Backfill a straggler's Log ID or ISRC,live,operator,human,cloudflare,a finding with a null log_id/isrc slot,"one-time log_id (auto-derived) or isrc write, else rejected",cli-admin;api,cli-admin,,partial,"update_track --isrc/--logId auto; null-slot only, immutable once set; track-update.ts:282; orpc-admin-tracks.test.ts"
curation-posting,20,Edit a finding's editorial note (operator),live,operator,human,cloudflare,a finding + the 'why' copy,note on the track row (feeds /log prose + JSON-LD),web-admin;cli-admin,web-admin,,partial,note-dialog.tsx; saveNote PATCH {note}; NOTE_MAX_LENGTH; also cli admin tracks update --note; auto-note cron fills-empty-only (note-agent domain)
curation-posting,30,Re-queue a finding for enrichment,live,operator,human,cloudflare;rave-02,a finding (needs a re-analysis),enrichmentStatus=pending → box cron re-runs BPM/key/features,web-admin;cli-admin,web-admin,,partial,enrich-dialog.tsx; runEnrichment PATCH enrichmentStatus=pending; on-box fluncle-enrich --no-agent cron picks up ~5min; update op tested in orpc-admin-tracks.test.ts
curation-posting,40,View a finding's context note,live,operator,human,cloudflare,a finding's context_note (firecrawl facts),read-only view (no write),web-admin,web-admin,,none,"ContextDialog in observation-dialogs.tsx; getContextNote lazy; VIEW-ONLY (generation is the enrich agent's job); internal, off public contract"
curation-posting,50,Play a finding's observation,live,operator,human,cloudflare,a finding's observation.mp3 + script,read-only audio playback + transcript,web-admin,web-admin,,none,ObservationDialog in observation-dialogs.tsx; getObservationScript lazy; VIEW-ONLY; observationAudioUrl on row
curation-posting,60,Preview a finding's clip before posting,live,operator,human,cloudflare,a finding with a rendered video,in-dialog StoriesPlayer playback (no write),web-admin,web-admin,,none,onPreview→StoriesPlayer dialog in admin/index.tsx; loads clip on open; used to line up the TikTok official sound
curation-posting,66,Prep a post — copy caption + grab cover,live,operator,human,cloudflare,a finding's note.txt caption + cover.jpg,caption on clipboard + cover downloaded,web-admin;phone,web-admin,,none,copyCaption→fetchCaption reads public note.txt (gesture-safe clipboard); Download cover in push-dialog.tsx Prep block
curation-posting,70,Push a TikTok draft to the inbox,live,operator;agent,human;ai,cloudflare,a finding with a video + Log ID,"social_posts(tiktok,draft) + Postiz inbox draft (SELF_ONLY)",web-admin;cli-admin,web-admin,,yes,draft_track_social tiktok in admin-social.ts:136; silenced footage.social.mp4 via audio=false MT; agent-allowed; 5-drafts/24h cap warning; orpc-admin-social.test.ts
curation-posting,80,Post a YouTube Short,live,operator,human,cloudflare,a finding with a video + Log ID,"social_posts(youtube,published) + Postiz public Short + auto-resolved watch URL",web-admin;cli-admin,web-admin,,yes,draft_track_social youtube: field-level operator guard (agent=403); direct PUBLIC; youtube_url_pending 409 gate; resolveSocialUrl; orpc-admin-social.test.ts
curation-posting,90,Record a post's outcome — mark live URL or failed,live,operator,human,cloudflare,the real public post URL (or a failure),social_posts.status=published+url (or failed → reopens unposted),web-admin;cli-admin,web-admin,,yes,update_track_social operator-tier; markLive/markFailed in admin/index.tsx; PushDialog confirm step; published requires --url; orpc-admin-social.test.ts
curation-posting,100,Capture missing post URLs (Postiz sweep),live,cron:box-capture;agent,system;ai,rave-02,pushed-but-no-URL youtube/tiktok posts,filled social_posts.url + tiktok draft→published,box-script;cli-admin;api,api,,yes,capture_post_urls in admin-social.ts:283 (fluncle admin tracks social --capture); isUrlClaimedByOtherTrack newest-aweme trap; fill-empty-only; orpc-admin-social.test.ts
curation-posting,105,Read a finding's per-platform posted state,live,operator;agent,system,cloudflare,a finding id,its social_posts rows (draft/published/failed + urls),web-admin;cli-admin,web-admin,,yes,list_track_social + board batch listSocialPostsForTracks; social_posts table = posted-state truth; board platform cells + push-dialog read it; orpc-admin-social.test.ts
curation-posting,110,Surface the next finding to post (helm next-to-post card),live,cron:helm-poll,system,M5;M2,recently-filmed findings + their social state,NextToPostCard (caption/cover/asset + adminUrl deep-link),helm,web-admin,helm(frozen),yes,"pulse/posting-state.ts gatherer + selectNextToPost; VIEW-only, deep-links to web board for the actual push; logic.test.ts covers selection; conservative (never a false row)"
curation-posting,120,Nudge when a dressed finding is unposted ~18h,live,cron:helm-18h-scheduler,system,M5;M2,newest posted-at vs unposted renders,one macOS osascript notification (deduped 1/day),helm,helm,helm(frozen),yes,"pulse/scheduler.ts + nudgeTick; FLUNCLE_HELM_NUDGE_HOURS default 18; hourly, windowless under launchd; persisted per-day dedupe; scheduler.test.ts+logic.test.ts"
curation-posting,130,The attention queue as home,live,operator;event:page-request,human;system,cloudflare,every actionable state across the pipeline (5 sources + the render-queue pulse datum),a row per action; zero rows = success (the celebrated zero state); non-native tasks deep-link with the object selected,web-admin,web-admin,,yes,SHIPPED as the web /admin home (routes/admin/index.tsx; the board moved to /admin/findings with ?stage/?mix redirects): two-tier order + bounded working set + j/k+Enter loop (lib/attention.ts); trust-rule scoped reads (lib/server/attention.ts); attention.test.ts; the Cockpit variant reads the same truth later
curation-posting,134,Surface unposted-to-TikTok as a queue source,live,event:page-request,system,cloudflare,dressed findings with no TikTok post (oldest first),the queue's post-tiktok row: the OLDEST dressed finding off TikTok + a waiting-count datum; [Copy caption] + [Mark posted] inline,web-admin;helm,web-admin,helm(frozen),yes,the /admin queue row (lib/server/attention.ts listUnpostedRows — the board's derivation in SQL; a draft is the deadline row's business); attention.test.ts; helm Pulse still shows its next-to-post card
curation-posting,136,Detect + surface stale TikTok drafts (24h bounce) + fix the freshness bug,live,event:page-request,system,cloudflare,a draft's push time vs the 24h window,a DEADLINE-tier queue row per pending draft — counting down (`6h left`) then bounced (`bounced 3h` + [Re-push]),web-admin;helm,web-admin,helm(frozen),yes,the /admin queue's deadline tier (draftDeadline off the shared isStaleTikTokDraft window; ordered by time-to-deadline); re-push fires the same draft_track_social op; attention.test.ts; the freshness bug itself was fixed earlier (see the order-136 live row below)
curation-posting,138,"Snooze or ""Won't do"" a queue row",live,operator,human,cloudflare,a queue row + a decision,snoozed-until (three plain slots) or a permanent undoable dismissal (toast Undo + [Restore] under [Show all]),web-admin,web-admin,,yes,"the /admin queue (s / x keys + row actions); persisted as a localStorage map (lib/queue-prefs.ts) — one operator, one browser, the honest store since a server column can't see this browser's working set; orderQueue buckets tested in attention.test.ts"
curation-posting,140,Port the desk push into a Cockpit posting row,desired,operator,human,M5;M2,the next finding to post,[Copy caption][Push TikTok draft][Open post asset][Mark failed] in the Cockpit,helm,helm,web-admin;helm(frozen),none,cockpit-roadmap.md 'the desk push'; capability LIVE today via push-dialog.tsx; 5-drafts/24h warning; Phase-3 port deletes the web desk counterpart at parity
curation-posting,142,The phone finish posting card (dedicated mobile),partial,operator,human,phone,a TikTok draft already in the inbox,caption-copy + official-sound search string + cover-to-camera-roll + URL-paste + Mark posted,phone;web-admin,phone,,none,"cockpit-roadmap.md 'the phone finish' — the one admin surface built for the phone, stays on web; TODAY PushDialog serves it responsively; DESIRED adds the title+artist sound-search string (absent today) + cover-save-to-camera-roll"
curation-posting,144,Daily digest nudge → notification-is-its-action,desired,cron:helm-daily,system,M5;M2;cloudflare,the queue's due/aged counts,"one daily digest push ('4 waiting, oldest 17d') that opens the Cockpit at the row",helm;telegram,helm,helm(frozen),none,cockpit-roadmap.md 'one daily digest nudge'; today's 18h osascript nudge (scheduler.ts) is the seed; only true deadlines earn an individual push; future web/telegram
curation-posting,146,Trigger a finding's observation/context render from the board,desired,operator,human,cloudflare,a finding + agent-authored voice-gated script,a rendered observation.mp3 (+ context_note),web-admin,web-admin,,none,observation-dialogs.tsx TODO(backfill): board is VIEW-ONLY today; needs an operator-trigger path posting an agent-authored script to the observe endpoint (voice-gated)
video-pipeline,10,View the render queue,live,operator;agent;cron:fluncle-render,system,cloudflare,admin auth (no args),"findings needing a video, oldest-first (JSON)",cli-admin;api;web-admin,cli-admin,,partial,"fluncle admin tracks queue → list_tracks_admin(hasContext=true,hasVideo=false); admin-tracks.ts:queueCommand; /admin/renders 'Awaiting a video' queue view (web-admin)"
video-pipeline,20,Read the diversity ledger,live,agent,system,cloudflare,admin auth,"recent video vehicles+grain, newest-first",cli-admin;api,cli-admin,,partial,fluncle admin tracks vehicles; feeds render-queue.prompt diversity check; cli.ts:585
video-pipeline,30,Conduct the hourly render,live,cron:fluncle-render,system,rave-02;rave-03,queue head + a scale-to-zero box,detached render triggered on rave-03; box parked,box-script,api,,none,render-conductor.sh RENDERING/IDLE FSM + single-flight; registry cron.render + render-box probe; web-admin visibility = /admin/renders Box-state cells (cron.render + render-box freshness, reused from /status)
video-pipeline,40,Author + render one finding's video,live,cron:fluncle-render;operator,ai,rave-03;M5,queued finding: trackId + context_note fuel + diversity ledger,out/<trackId>.mp4 + props.json/render.json,box-script;cli-admin,cli-admin,,partial,render-queue.prompt.md + @fluncle-video skill; social:preview/render.ts (render.test.ts); box render-detached.sh claude -p
video-pipeline,45,Author a photographic plate (plate lane),live,cron:fluncle-render;agent,ai,rave-03;M5,subject-kind concept + GEMINI_API_KEY,plate.png (+plate.background.png) at out/<logId>/,box-script;cli-admin,cli-admin,,none,fluncle-video cookbook §plate lane; GEMINI_API_KEY injected by conductor; procedural fallback when absent
video-pipeline,50,Pre-upload plates to R2 (no finalize),live,agent,system,cloudflare;rave-03,plate.png/plate.background.png,R2 <logId>/plate.png; finding stays queued (no video_url),cli-admin;api,cli-admin,,yes,"isPlatesOnlyUpload guard track.ts; presign only, skips finalize; track.test.ts"
video-pipeline,60,Gate the render on motion/flash/arc,live,cron:fluncle-render;agent,system,rave-03;M5,full render + trackId,pass/fail verdict (blocks ship) + metrics.json,box-script;cli-admin,cli-admin,,yes,"judge:metrics=analyze-motion.ts (beat-pull/WCAG flash/arc); analyze-motion.test.ts, detect-beat-pull.test.ts"
video-pipeline,65,Gate the render on diversity,live,agent,system,rave-03;M5,render.json (vehicle/grain/register/plateSubject) + recent window,WARN on same-kind/family repeat in window,box-script;cli-admin,cli-admin,,yes,judge:diversity=judge-diversity.ts; judge-diversity.test.ts
video-pipeline,70,Package the render bundle,live,cron:fluncle-render;operator,system,rave-03;M5,out/<trackId>.mp4 + props + render.json,out/<logId>/ two-master bundle (footage.mp4/footage.social.mp4/poster.jpg/cover.jpg/note.txt/composition/props/render/intent/scene.json),box-script;cli-admin,cli-admin,,yes,packages/video ship.ts; square-crop re-render + fingerprint cache; scene.json RFC Unit S; ship.test.ts
video-pipeline,80,Upload + link the video bundle,live,cron:fluncle-render;operator,system,cloudflare;rave-03;M5,out/<logId>/ bundle,R2 <logId>/* + video_url set (dequeues) + squared vintage + MT purge,cli-admin;api,cli-admin,,yes,fluncle admin tracks video --dir; presign+finalize_track_video; re-render-contract guard; orpc-admin-tracks.test.ts
video-pipeline,90,Purge stale MT renditions on re-render,live,event:video-finalize,system,cloudflare,logId + vintage (videoSquaredAt),evicted CF Media-Transformation renditions (waitUntil),api,api,,partial,purgeVideoCache in finalize handler; vintage ?v=videoVersion(squaredAt); video-cache.ts
video-pipeline,100,Requeue a finding's video (re-render),live,operator,human,cloudflare,a finding id/logId,"video_url + video_squared_at cleared (re-queues, off radio); ledger kept",cli-admin;api;web-admin,web-admin,,yes,fluncle admin tracks requeue-video (operator-tier); /admin/renders 'Recently shipped' Requeue button (confirm dialog) hits the SAME requeue_video op; orpc-admin-tracks.test.ts
video-pipeline,110,Purge a finding's MT renditions (manual),live,operator,human,cloudflare,a finding id/logId,evicted renditions (manual twin of the auto-purge),cli-admin;api;web-admin,web-admin,,partial,fluncle admin tracks purge-video (operator-tier); /admin/renders 'Recently shipped' Purge button (confirm dialog) hits the SAME purge_video op; after a manual R2 re-upload
video-pipeline,120,Preview a shipped clip / see render status,live,operator,human,browser;cloudflare,the finding row,opens the clip preview (video step Filmed/No clip),web-admin,web-admin,,partial,pipeline board video step is view-only; board-model.ts runStep→onPreview; /admin/renders adds a dedicated 'Recently shipped' Watch (StoriesPlayer) + render-status view; board-model.test.ts
video-pipeline,130,Review a shipped render (unreviewed-renders queue),desired,operator;agent,human,browser;cloudflare,a freshly-shipped render + its gate verdicts,"video_reviewed_at + [Mark reviewed], OR finalize writes gate.advisories[]",,web-admin,,none,cockpit-roadmap.md queue source 'Unreviewed renders' NEEDS NEW STATE; LLM taste judge was dropped; neither column exists today
mixtape-lifecycle,10,Create a plan (line up findings for a set),live,operator,human,M5,a set idea,a videoless plan recording (kind=plan) + galaxy-slug handle,web-admin;cli-admin;api,web-admin,,partial,create_recording kind=plan; admin/plans.tsx; apps/cli recordings.ts:129; recordings.test.ts
mixtape-lifecycle,20,"Edit a plan (add/reorder/remove findings, set Live session date)",live,operator,human,M5,a plan + Fluncle findings,plan recording's ordered trackIds + recordedAt,web-admin;api;cli-admin,web-admin,,partial,update_recording; plans.tsx findings builder (drag reorder); recordedAt→calendar.ics; recordings.test.ts
mixtape-lifecycle,30,Export a plan to Rekordbox/Beatport/m3u8,live,operator,system,M2,a plan id + master.db,Rekordbox playlist (DB write) + XML + Beatport links + m3u8 + checklist,m2-script;helm,m2-script,helm(frozen),yes,rekordbox-plan-export.py; helm plan-export spawn; test_plan_export.py
mixtape-lifecycle,35,Buy the plan's tracks on Beatport,partial,operator,human,M2,the plan's Beatport search links,purchased tracks in the Rekordbox collection,m2-script,m2-script,,none,manual buy — no add-to-cart API (partner-gated); links from _cue_formats.py beatport_search_links
mixtape-lifecycle,40,Practice/rehearse the set in Rekordbox,live,operator,human,M2,the plan's Rekordbox crate,a rehearsed set (no artifact),,,,none,"human, no surface; Rekordbox + DDJ-FLX4 on M2; docs/live-show-setup.md"
mixtape-lifecycle,50,Start the visuals + the show,live,operator,human;system,M5,a plan id (optional) + the rig,the glass on the show display + bridge + phone remote up,helm,helm,,yes,bun run --cwd packages/live show; helm show-control; show.test.ts + show-control/*.test.ts
mixtape-lifecycle,60,Record the set in OBS,live,operator,human,M5,the FLX4 analog master + mic,"an OBS .mov master (T1 clean, T2 mic) on M5",,,,none,"human, no surface; OBS out of scope (decided); docs/mixtape-recording-setup.md"
mixtape-lifecycle,70,Upload a recording (take) to R2,live,operator,human,M5,the OBS .mov master,a coordinate-less recording row + recordings/<id>/set.mp4 on R2,cli-admin;helm;api,helm,helm(frozen),partial,"recordings create --video (multipart presign, operator-direct multi-GB); helm upload; mixtape-set-video.test.ts"
mixtape-lifecycle,75,Upload a recording from the browser (web multipart),live,operator,human,browser,the OBS .mov master,a coordinate-less recording row + recordings/<id>/set.mp4 on R2,web-admin,web-admin,,yes,"UploadRecordingDialog on /admin/clips → create_recording + presign_recording_upload; recording-upload.ts streams File.slice() parts direct-to-R2 (XHR byte-progress + per-part retry + abort/no-phantom); shared plan/XML in @fluncle/contracts/util/multipart; NEEDS the fluncle-videos bucket CORS from apps/web/r2-cors.json (PUT/POST/DELETE + expose ETag); multipart.test.ts + tests/browser/upload-recording-smoke.ts"
mixtape-lifecycle,80,Stage the waveform/envelope at upload,desired,event:recording-upload,system,cloudflare;M5,the uploaded set video,recordings/<id>/studio-envelope.json (peaks[]),,api,,partial,roadmap Phase 1: spawned analyze-set + NEW arbitrary-key presign op; analyze-set.test.ts exists
mixtape-lifecycle,90,Attach a take to its plan,live,operator,human,M5,a take recording + a plan id,take.parentId set + version assigned,web-admin;cli-admin;api,web-admin,,partial,update_recording --parent-id; plans.tsx loose-take attach; recordings.test.ts
mixtape-lifecycle,100,Derive cues from Rekordbox history,live,operator,system,M2,a Rekordbox session + Fluncle catalogue,ordered recording_cues written via replace-cues,m2-script;helm,m2-script,helm(frozen),yes,rekordbox-derive-cues.py --apply; helm derive-cues; test_derive_cues.py + helm cues.test.ts
mixtape-lifecycle,105,Derive cues via a web-admin button (M2 poller),desired,operator,system,M2;cloudflare,a take + Rekordbox session,recording_cues,,web-admin,,none,roadmap: M2 poller behind a web button (derivation is M2/master.db-bound today)
mixtape-lifecycle,110,Attach cues to a recording,live,operator,system,M5,the ordered cue array,recording_cues replaced transactionally,cli-admin;helm;api,helm,helm(frozen),partial,replace_recording_cues; recordings replace-cues; helm attach; recordings.test.ts + cues.test.ts
mixtape-lifecycle,120,Mark cue mix-in times on the cue rail,live,operator,human,M5,a take/mixtape + the envelope,startMs on each cue,web-admin,web-admin,,partial,/admin/studio/<id> cue rail (C/X/↑/↓); update_mixtape_cue for promoted; mixtapes-cues.test.ts
mixtape-lifecycle,130,Promote a recording to a mixtape,live,operator,human,M5,a take recording with cues,minted .F. mixtape + <logId>/set.mp4 + setVideoAt + seeded members,web-admin;cli-admin;helm;api,helm,helm(frozen),yes,promote_recording (idempotent mint-or-reuse); Studio button/CLI/helm; recordings.test.ts (10+ cases)
mixtape-lifecycle,140,"Edit a mixtape (dream note, date, duration, SoundCloud)",live,operator,human,M5,a promoted mixtape,updated mixtape fields,web-admin;cli-admin;api,web-admin,,partial,update_mixtape; mixtapes update / Studio editor; orpc-admin-mixtapes.test.ts
mixtape-lifecycle,150,Distribute the video to YouTube,live,operator,human,M5,the mixtape .mp4 master,unlisted YouTube video + mixtape_social_posts row,cli-admin;helm,helm,helm(frozen),partial,"mixtapes distribute --youtube (multi-GB, operator-direct); resumable; mixtape-youtube.test.ts"
mixtape-lifecycle,160,Distribute the audio to Mixcloud,live,operator,human,M5,the clean Track-1 .mp3 master,public Mixcloud cloudcast + mixtape_social_posts row,cli-admin;helm,helm,helm(frozen),partial,mixtapes distribute --mixcloud; ffmpeg -map 0:a:0 extract; mixtape-mixcloud.test.ts
mixtape-lifecycle,170,Make the YouTube video public,live,operator,human,M5,a distributed unlisted mixtape,the YouTube video flipped public,web-admin;cli-admin,web-admin,,partial,publish_mixtape_youtube (server-side videos.update); Studio button/CLI; orpc-admin-mixtapes.test.ts
mixtape-lifecycle,180,Re-sync cues → live YouTube chapters + Mixcloud sections,live,operator,human,M5,the mixtape's current cues,refreshed YT description/chapters + MC sections (no re-upload),web-admin;cli-admin,web-admin,,partial,resync_mixtape_youtube/mixcloud (both server-side); Studio Re-sync from cues; mixtape-chapters.test.ts
mixtape-lifecycle,190,Backfill a published mixtape's cues,live,operator,human,M5,a published mixtape + start times,re-timed member start_ms,web-admin;api,web-admin,,yes,set_mixtape_cues (batch) / update_mixtape_cue (single); Studio cue rail; mixtapes-cues.test.ts
mixtape-lifecycle,200,Render the hour-long set video,live,operator,human,M5,a published mixtape's cues + archived comps,one long-form set.mp4 (chapters + travel transitions),,helm,,partial,bun run --cwd packages/video set:render <logId> (local GPU); render-set.test.ts; roadmap wants a Cockpit shelf button (not built)
mixtape-lifecycle,210,Toggle the set video on /log,live,operator,human,M5,a promoted mixtape,setVideoAt flag → /log hero video + video SEO,web-admin;cli-admin;api,web-admin,,partial,auto on promote; manual switch in Studio (update_mixtape setVideoAt); log-schema.test.ts
mixtape-lifecycle,220,Register the mixtape on MusicBrainz,partial,operator,human,M5,the published mixtape + tracklist,a DJ-mix release on MusicBrainz,,web-admin,,none,manual; no op; skill §E; substantiates the MB artist; DESIRED automation per Work Standard
mixtape-lifecycle,230,Link the mixtape on Wikidata,partial,operator,human,M5,the MusicBrainz release,a release link on Q140169844,,web-admin,,none,manual; no op; skill §E; closes the off-site KG loop
mixtape-lifecycle,240,Announce the mixtape to the crew,desired,operator,ai;human,M5,the published mixtape URLs,a Telegram crew post (+ newsletter ride-along),telegram,helm,,none,roadmap: NEW operator-tier announce op (nothing mixtape-shaped exists); today manual skill §F
mixtape-lifecycle,250,Verify the mixtape resolves across surfaces,live,operator,ai,M5,the minted .F. coordinate,pass/fail across feed/mixtapes/log/API/RSS/MCP/llms.txt,,web-admin,,none,"skill §G checklist + fluncle-smoke skill (agent-run cross-surface sweep, not a CLI/test)"
mixtape-lifecycle,260,Surface mixtape-day tasks in the attention queue,live,event:page-request,system,cloudflare,recordings + mixtapes state,"queue rows: recordings-without-cues ([Attach cues] → the Studio, M2-badged) + promoted-undistributed ([Distribute] → the Studio, M5-badged + missing-leg marks)",web-admin,web-admin,,yes,the /admin queue (deriveAttentionItems over listRecordings + listMixtapes includeUnpublished); attention.test.ts covers both verdicts
clips-drip,10,Author finding-linked cues on a recording (Studio cue rail),live,operator,human,browser,a recording set video + picked findings,recording tracklistJson via replace_recording_cues,web-admin,web-admin,,partial,studio.$recordingId.tsx cue rail; PUT /admin/recordings/{id}/cues; pure helpers recording-cues.test.ts; also fuels mixtape chapters
clips-drip,20,Create a clip (mark in/out + 9:16 crop → queue a pending row),live,operator,human,browser,recording set rendition + in/out band + crop xOffset,mixtape_clips pending row (+ auto drip enrol),web-admin,web-admin,,partial,create_clip POST /admin/recordings/{id}/clips; clips.ts createClip; crop-frame/energy-lane UI; clips.test.ts covers auto-queue
clips-drip,30,Cut a clip's framed 9:16 footage (box clip-sweep cron),live,cron:fluncle-studio-clip,system,rave-02;cloudflare,pending clip + recording r2Key set rendition,<clipId>/footage.mp4 on R2 + status=done,box-script;cli-admin;api,cli-admin,,partial,"clip-sweep.ts shells `fluncle admin clips cut`; clipCutFfmpegArgs clips.ts; presign_clip_upload/finalize_clip_cut; clips.test.ts args-only, no e2e"
clips-drip,40,Browse/filter/preview/delete clips (clip library),live,operator,human,browser,mixtape_clips + recordings,rendered grid; delete_clip prunes a bad cut,web-admin;cli-admin,web-admin,,partial,routes/admin/clips.tsx + clip-card.tsx; list_clips/delete_clip; studio-clips.test.ts filter/sort; `fluncle admin clips list`
clips-drip,50,Edit + copy a clip caption (built caption w/ fluncle:// coordinate),live,operator,human,browser,clip caption + resolved coordinate lines,update_clip caption; clipboard payload,web-admin;api,web-admin,,partial,clip-card.tsx ClipCaption; get_clip_caption; buildClipCaption clip-caption.ts; clip-caption.test.ts
